dates,index
2021-11-09,26
2021-11-10,27
2021-11-11,28
2021-11-15,30
2021-11-16,31
2021-11-17,32
2021-11-18,33
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-18,33
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-18,33
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-12-27,58
2022-01-04,64
2022-01-12,70
2022-01-14,72
2022-01-26,79
2022-01-27,80
2022-01-27,80
2022-04-21,138
2022-04-18,135
2022-04-19,136
2022-04-20,137
2022-04-21,138
2022-05-09,150
2022-06-24,182
2022-08-19,221
2022-11-10,279
2022-11-11,280
2022-11-14,281
2022-11-15,282
2022-11-10,279
2022-11-11,280
2022-11-14,281
2022-11-10,279
2022-11-11,280
2022-11-14,281
2022-11-15,282
2022-11-16,283
2022-11-17,284
2022-12-01,293
2023-03-22,368
2023-04-03,376
2023-03-22,368
2023-03-23,369
2023-03-31,375
2023-04-03,376
2023-03-29,373
2023-04-24,390
2023-07-31,457
2023-08-01,458
2023-09-21,494
2023-11-14,532
2023-11-15,533
