dates,index
2021-11-23,36
2021-11-24,37
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-12-03,43
2021-12-01,41
2021-11-24,37
2021-12-03,43
2021-11-29,39
2021-11-30,40
2021-12-01,41
2021-12-02,42
2021-12-03,43
2021-12-06,44
2021-12-07,45
2021-12-08,46
2021-12-09,47
2021-12-16,52
2022-01-06,66
2022-01-07,67
2022-01-10,68
2022-02-09,89
2022-02-10,90
2022-02-11,91
2022-02-14,92
2022-02-15,93
2022-02-16,94
2022-02-17,95
2022-02-18,96
2022-02-22,97
2022-02-23,98
2022-02-24,99
2022-02-17,95
2022-02-18,96
2022-02-22,97
2022-02-23,98
2022-02-17,95
2022-02-18,96
2022-02-23,98
2022-02-24,99
2022-02-25,100
2022-03-18,115
2022-03-21,116
2022-03-29,122
2022-03-30,123
2022-03-31,124
2022-04-01,125
2022-04-04,126
2022-03-30,123
2022-06-09,172
2022-06-09,172
2022-06-10,173
2022-07-12,193
2022-07-13,194
2022-07-14,195
2022-07-15,196
2022-07-19,198
2022-07-21,200
2022-07-22,201
2022-07-19,198
2022-07-20,199
2022-07-22,201
2022-07-18,197
2022-07-22,201
2022-07-25,202
2022-07-29,206
2022-12-14,302
2023-04-13,383
2023-04-14,384
2023-04-17,385
2023-04-18,386
2023-04-19,387
2023-04-13,383
2023-04-14,384
2023-04-17,385
2023-04-18,386
2023-06-30,437
2023-07-03,438
2023-07-07,441
2023-09-07,484
2023-09-08,485
2023-09-11,486
2023-09-12,487
2023-09-13,488
2023-09-14,489
2023-09-15,490
2023-09-18,491
2023-09-19,492
2023-09-20,493
2023-09-21,494
2023-09-22,495
2023-09-25,496
2023-09-26,497
2023-09-20,493
2023-09-28,499
2023-09-29,500
2023-09-25,496
2023-09-26,497
2023-09-28,499
2023-09-29,500
2023-09-25,496
2023-09-26,497
2023-09-27,498
2023-09-28,499
