,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-04,-0.020501879790564417,-0.017055721944735456,-0.018187383733628378,-0.01970289710807252,-0.022113646453578432,0.026448085443854193,0.02336849735538436,0.02437214991060079,0.02572813967947916,0.02791013627211069
2022-02-07,-0.020228536352322437,-0.016817823218266865,-0.017937845544393788,-0.019437771433543,-0.02182372553764325,0.026238535161044303,0.023190621510328004,0.024183951214087316,0.02552599424324112,0.027685548381470877
2022-02-08,-0.020025978419935617,-0.01665223413818982,-0.017760116498763853,-0.019243784632865326,-0.021603877287636505,0.025937434698096402,0.02292255750197994,0.023905120466447542,0.025232617039013493,0.027368763685949413
2022-02-09,-0.02029005241066375,-0.016888984974539268,-0.018005839811461068,-0.01950152382171953,-0.021880730306872938,0.026045607483506653,0.02300631351238209,0.023996834021145556,0.025335081673449722,0.027488528465190787
2022-02-10,-0.020286430570901483,-0.01687143311735387,-0.017992862343825314,-0.019494672343854248,-0.02188362353075611,0.026239009902972333,0.023187267658249276,0.02418184511919149,0.025525573936883636,0.02768784076877154
2022-02-11,-0.019973794262410367,-0.01661297098479083,-0.017716610299254393,-0.019194596176349474,-0.021545649981586132,0.025813584929823417,0.02281025432332311,0.02378905419875433,0.025111466631190127,0.02723943211282887
2022-02-14,-0.0196983302437262,-0.016376459025392302,-0.017467307121616805,-0.01892816309072436,-0.021251968100162926,0.02555837162289306,0.022589849723121794,0.023557305273776856,0.024864390899887744,0.02696769318719831
2022-02-15,-0.019897709742340074,-0.01652934222613325,-0.017635458944975098,-0.01911676254429607,-0.021473093898922588,0.02599245108533788,0.022982378725171795,0.0239633757705163,0.025288756700274615,0.027421498951761953
2022-02-16,-0.021031278683731305,-0.017509187653870033,-0.018665784656622164,-0.02021469109113881,-0.022678559266918166,0.026953189469574406,0.023805745252764854,0.024831512446250682,0.02621738030698454,0.02844745535575141
2022-02-17,-0.021199112111076383,-0.017628616676003666,-0.018801108892568533,-0.0203713020837463,-0.022869031415457416,0.027444810786770624,0.02425411096868353,0.025293975370465547,0.026698889334474913,0.028959612499771786
2022-02-18,-0.02041449677257052,-0.01697428176551206,-0.018103992023495778,-0.01961689192170297,-0.022023483972239417,0.02645450407015413,0.023380226677336698,0.024382148451322524,0.025735799839624207,0.02791403361739701
