,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-04,-0.02263668429299553,-0.01894525328540544,-0.020157458763073958,-0.021780835669506664,-0.024363165116864694,0.027654847675389952,0.02435607626997045,0.02543116172133977,0.026883661259302312,0.02922095694941265
2022-02-07,-0.02198394031643781,-0.018399757439487647,-0.01957674438776631,-0.021152956891510474,-0.0236602612319774,0.02684645834631708,0.02364352702727932,0.024687377733992582,0.026097677415075352,0.028367067029465547
2022-02-08,-0.021535371495325636,-0.018009682598849455,-0.01916746108206527,-0.020717949746769364,-0.023184334799306875,0.02649811348194607,0.02334745410562646,0.024374269135045208,0.02576155267971981,0.027993905782204967
2022-02-09,-0.02114363727769853,-0.01768264566051915,-0.018819178616948044,-0.020341215424119513,-0.022762341689712733,0.026008421151621337,0.02291557716844165,0.023923549883437575,0.025285376425640015,0.02747676528641204
2022-02-10,-0.02096367773619031,-0.017514916367016298,-0.018647433110330312,-0.020164091433620863,-0.022576662066044233,0.026021757530654475,0.022939842857088954,0.02394425365756713,0.025301267857471842,0.027484912917562464
2022-02-11,-0.02064367727174397,-0.01724038103902347,-0.018357967776239967,-0.01985463194213879,-0.02223539757524058,0.025722347430824397,0.022681061741457138,0.023672231360765954,0.025011355997095905,0.027166213991340088
2022-02-14,-0.020455324654044975,-0.017085886492099082,-0.018192354793464583,-0.01967412922958684,-0.022031209551216673,0.025449422499180665,0.022438393378467755,0.02341970223667163,0.02474550444274207,0.026878924592764267
2022-02-15,-0.021250526455534335,-0.0177862944339302,-0.018923891486094725,-0.020447353322665316,-0.022870746403417793,0.02594567878362233,0.02284993907966759,0.023858855523977825,0.02522195709635693,0.02741539767725608
2022-02-16,-0.02114153462201056,-0.017678602280971772,-0.018815772539327258,-0.020338662816681063,-0.02276114670980708,0.02603696395364185,0.022942385682496312,0.023950923610273428,0.025313513786010752,0.027506131450870663
2022-02-17,-0.020989967259164945,-0.017553429019043422,-0.018681931886990077,-0.020193214857094462,-0.02259723483639003,0.02582894183280806,0.022757950107150877,0.0237588010664218,0.025111005725185234,0.02728691149208703
2022-02-18,-0.0211342506544035,-0.01769074209721573,-0.018821533903113936,-0.02033588220255336,-0.02274477824616669,0.02577962104769175,0.02270240044153332,0.023705281422888892,0.025060228753070908,0.027240547901126014
